Designator,Mid X,Mid Y,Layer,Rotation
U1,88.000mm,-33.000mm,Top,0.0
J2,27.000mm,-33.000mm,Top,270.0
D1,38.000mm,-28.000mm,Top,180.0
D2,95.500mm,-86.000mm,Top,270.0
U2,51.000mm,-33.500mm,Top,0.0
C1,44.500mm,-28.000mm,Top,90.0
C2,44.500mm,-32.500mm,Top,90.0
C3,57.000mm,-32.500mm,Top,270.0
C4,59.500mm,-32.500mm,Top,270.0
LED2,63.000mm,-32.500mm,Top,270.0
R9,65.500mm,-32.500mm,Top,270.0
C6,76.800mm,-28.000mm,Top,90.0
C7,74.000mm,-27.600mm,Top,0.0
R1,64.800mm,-28.500mm,Top,90.0
C5,68.000mm,-28.700mm,Top,0.0
R2,103.400mm,-35.000mm,Top,270.0
SW1,55.000mm,-22.500mm,Top,0.0
SW2,101.000mm,-47.000mm,Top,0.0
J1,89.000mm,-95.600mm,Top,0.0
R4,84.000mm,-88.000mm,Top,90.0
R5,96.500mm,-97.900mm,Top,0.0
U4,89.000mm,-82.000mm,Top,90.0
U3,104.500mm,-62.000mm,Top,90.0
J3,114.000mm,-65.000mm,Top,90.0
C8,100.300mm,-62.000mm,Top,90.0
C9,105.300mm,-67.500mm,Top,0.0
J4,27.000mm,-55.000mm,Top,270.0
R6,46.000mm,-53.000mm,Top,180.0
R7,41.000mm,-52.000mm,Top,90.0
Q1,42.000mm,-57.000mm,Top,0.0
LED3,33.000mm,-50.000mm,Top,270.0
R10,36.500mm,-50.000mm,Top,90.0
BZ1,38.000mm,-78.000mm,Top,0.0
D4,49.500mm,-84.000mm,Top,0.0
Q2,58.000mm,-80.000mm,Top,0.0
R11,58.800mm,-74.000mm,Top,0.0
R8,62.000mm,-77.500mm,Top,90.0
LED1,75.000mm,-86.000mm,Top,0.0
R3,82.000mm,-84.350mm,Top,180.0
D3,72.550mm,-79.500mm,Top,90.0
C10,69.000mm,-81.500mm,Top,0.0
J5,24.500mm,-95.000mm,Top,0.0
C12,26.500mm,-90.500mm,Top,0.0
J6,46.000mm,-95.000mm,Top,0.0
J7,64.000mm,-95.000mm,Top,0.0
