Mfr Part Number,Quantity,Manufacturer,Description,Customer Part Number
CMI-1295-0585T,1,Same Sky,"active magnetic buzzer, 5V, 12x9.5mm THT, 7.6mm pitch",BZ1
1715721,5,Phoenix Contact,"MKDS 1,5/2-5,08 screw terminal block, 1x02, 5.08mm, horizontal","J2,J3,J4,J8,J9"
22-27-2141,1,Molex,"KK 254 vertical friction-lock header, 1x14, 2.54mm (AE-6410-14A)",J5
22-27-2061,1,Molex,"KK 254 vertical friction-lock header, 1x06, 2.54mm (AE-6410-06A)",J6
22-27-2081,1,Molex,"KK 254 vertical friction-lock header, 1x08, 2.54mm (AE-6410-08A)",J7
1715747,3,Phoenix Contact,"MKDS 1,5/4-5,08 screw terminal block, 1x04, 5.08mm, horizontal","J10,J11,J12"
22-01-3147,1,Molex,"KK 254 crimp housing, 14 ckt, friction ramp with polarizing ribs (2695-14RP)",J5
22-01-3067,1,Molex,"KK 254 crimp housing, 6 ckt, friction ramp with polarizing ribs (2695-06RP)",J6
22-01-3087,1,Molex,"KK 254 crimp housing, 8 ckt, friction ramp with polarizing ribs (2695-08RP)",J7
08-50-0114,35,Molex,"KK 254 female crimp terminal, 30-22 AWG, tin (series 2759)","J5,J6,J7"
